These are the connections for the analogue to digital test:
jumper connecting GP11 to SCLK
jumper connecting GP10 to MOSI
jumper connecting GP9 to MISO
jumper connecting GP8 to CSnA
Potentiometer connections:
  (call 1 and 3 the ends of the resistor and 2 the wiper)
  connect 3 to 3V3
  connect 2 to AD1
  connect 1 to GND
connect GP4 to controlsignal for ESC(electronic speed control) for Brushless Motor
SP=500 KP=1 Kd=0
SP;PV;Y;pos
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;171;329;132
500;169;331;133
500;170;330;133
500;171;329;132
500;171;329;132
500;169;331;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;169;331;133
500;171;329;132
500;170;330;133
500;172;328;132
500;170;330;133
500;169;331;133
500;171;329;132
500;171;329;132
500;172;328;132
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;172;328;132
500;171;329;132
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;171;329;132
500;172;328;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;171;329;132
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;171;329;132
500;172;328;132
500;170;330;133
500;170;330;133
500;171;329;132
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;172;328;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;171;329;132
500;169;331;133
500;171;329;132
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;172;328;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;169;331;133
500;171;329;132
500;170;330;133
500;170;330;133
500;168;332;133
500;170;330;133
500;170;330;133
500;172;328;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;171;329;132
500;172;328;132
500;170;330;133
500;170;330;133
500;171;329;132
500;169;331;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;172;328;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;172;328;132
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;168;332;133
500;170;330;133
500;171;329;132
500;170;330;133
500;172;328;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;168;332;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;169;331;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;169;331;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;168;332;133
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;172;328;132
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;173;327;132
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;171;329;132
500;169;331;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;169;331;133
500;171;329;132
500;170;330;133
500;172;328;132
500;169;331;133
500;170;330;133
500;170;330;133
500;173;327;132
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;172;328;132
500;170;330;133
500;171;329;132
500;170;330;133
500;169;331;133
500;170;330;133
500;171;329;132
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;172;328;132
500;168;332;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;169;331;133
500;169;331;133
500;170;330;133
500;170;330;133
500;171;329;132
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;172;328;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;169;331;133
500;168;332;133
500;169;331;133
500;170;330;133
500;171;329;132
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;172;328;132
500;170;330;133
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;169;331;133
500;171;329;132
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;168;332;133
500;170;330;133
500;170;330;133
500;172;328;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;172;328;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;169;331;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;169;331;133
500;171;329;132
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;169;331;133
500;170;330;133
500;172;328;132
500;170;330;133
500;167;333;133
500;171;329;132
500;170;330;133
500;172;328;132
500;171;329;132
500;171;329;132
500;171;329;132
500;170;330;133
500;169;331;133
500;170;330;133
500;169;331;133
500;171;329;132
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;169;331;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;168;332;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;172;328;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;169;331;133
500;167;333;133
500;171;329;132
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;172;328;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;172;328;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;172;328;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;172;328;132
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;169;331;133
500;170;330;133
500;172;328;132
500;170;330;133
500;171;329;132
500;171;329;132
500;171;329;132
500;171;329;132
500;172;328;132
500;171;329;132
500;171;329;132
500;169;331;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;169;331;133
500;171;329;132
500;171;329;132
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;172;328;132
500;170;330;133
500;170;330;133
500;172;328;132
500;171;329;132
500;170;330;133
500;174;326;132
500;171;329;132
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;172;328;132
500;170;330;133
500;170;330;133
500;171;329;132
500;172;328;132
500;170;330;133
500;170;330;133
500;172;328;132
500;169;331;133
500;170;330;133
500;172;328;132
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;171;329;132
500;172;328;132
500;170;330;133
500;171;329;132
500;172;328;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;169;331;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;172;328;132
500;170;330;133
500;171;329;132
500;168;332;133
500;170;330;133
500;170;330;133
500;169;331;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;171;329;132
500;172;328;132
500;170;330;133
500;170;330;133
500;169;331;133
500;171;329;132
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;171;329;132
500;172;328;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;172;328;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;167;333;133
500;169;331;133
500;170;330;133
500;170;330;133
500;171;329;132
500;168;332;133
500;170;330;133
500;170;330;133
500;172;328;132
500;170;330;133
500;173;327;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;172;328;132
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;172;328;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;169;331;133
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;169;331;133
500;169;331;133
500;170;330;133
500;172;328;132
500;170;330;133
500;171;329;132
500;170;330;133
500;169;331;133
500;171;329;132
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;172;328;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;168;332;133
500;170;330;133
500;170;330;133
500;172;328;132
500;169;331;133
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;171;329;132
500;169;331;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;171;329;132
500;171;329;132
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;169;331;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;169;331;133
500;170;330;133
500;169;331;133
500;171;329;132
500;170;330;133
500;172;328;132
500;169;331;133
500;171;329;132
500;170;330;133
500;169;331;133
500;170;330;133
500;171;329;132
500;171;329;132
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;169;331;133
500;170;330;133
500;173;327;132
500;172;328;132
500;171;329;132
500;171;329;132
500;171;329;132
500;170;330;133
500;171;329;132
500;171;329;132
500;169;331;133
500;169;331;133
500;170;330;133
500;170;330;133
500;173;327;132
500;170;330;133
500;170;330;133
500;172;328;132
500;171;329;132
500;170;330;133
500;170;330;133
500;169;331;133
500;171;329;132
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;169;331;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;168;332;133
500;170;330;133
500;170;330;133
500;171;329;132
500;169;331;133
500;171;329;132
500;170;330;133
500;171;329;132
500;172;328;132
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;172;328;132
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;169;331;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;170;330;133
500;171;329;132
500;170;330;133
500;170;330;133
500;170;330;133
